0;Afrikaans;af
1;Albanian;sq
2;Amharic;sm
3;Arabic;ar
4;Azerbaijani;az
5;Basque;eu
6;Belarusian;be
7;Bengali;bn
8;Bihari;bh
9;Bosnian;bs
10;Bulgarian;bg
11;Catalan;ca
12;Chinese (Simplified);zh-CN
13;Chinese (Traditional);zh-TW
14;Croatian;hr
15;Czech;cs
16;Danish;da
17;Dutch;nl
18;English;en
19;Esperanto;eo
20;Estonian;et
21;Faroese;fo
22;Finnish;fi
23;French;fr
24;Frisian;fy
25;Galician;gl
26;Georgian;ka
27;German;de
28;Greek;el
29;Gujarati;gu
30;Hebrew;iw
31;Hindi;hi
32;Hungarian;hu
33;Icelandic;is
34;Indonesian;id
35;Interlingua;ia
36;Irish;ga
37;Italian;it
38;Japanese;ja
39;Javanese;jw
40;Kannada;kn
41;Korean;ko
42;Latin;la
43;Latvian;lv
44;Lithuanian;lt
45;Macedonian;mk
46;Malay;ms
47;Malayam;ml
48;Maltese;mt
49;Marathi;mr
50;Nepali;ne
51;Norwegian;no
52;Norwegian (Nynorsk);nn
53;Occitan;oc
54;Persian;fa
55;Polish;pl
56;Portuguese (Brazil);pt-BR
57;Portuguese (Portugal);pt-PT
58;Punjabi;pa
59;Romanian;ro
60;Russian;ru
61;Scots Gaelic;gd
62;Serbian;sr
63;Sinhalese;si
64;Slovak;sk
65;Slovenian;sl
66;Spanish;es
67;Sudanese;su
68;Swahili;sw
69;Swedish;sv
70;Tagalog;tl
71;Tamil;ta
72;Telugu;te
73;Thai;th
74;Tigrinya;ti
75;Turkish;tr
76;Ukrainian;uk
77;Urdu;ur
78;Uzbek;uz
79;Vietnamese;vi
80;Welsh;cy
81;Xhosa;xh
82;Zulu;zu
